source_event_id,source_matchup_id,bookmaker_id,bookmaker_name,fighter_name,fighter_url,american_odds,event_name,event_date_iso,event_url
ufc-3123,33480,23,BetMGM,Taylor Lapilus,/fighters/taylor-lapilus-5164,+220,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,22,DraftKings,Taylor Lapilus,/fighters/taylor-lapilus-5164,+270,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,21,FanDuel,Jean Silva,/fighters/jean-silva-554,-950,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,24,Caesars,Jean Silva,/fighters/jean-silva-554,-900,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,25,BetRivers,Jean Silva,/fighters/jean-silva-554,-1115,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,20,BetWay,Jean Silva,/fighters/jean-silva-554,-1205,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,26,Unibet,Jean Silva,/fighters/jean-silva-554,-1115,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,23,BetMGM,Jean Silva,/fighters/jean-silva-554,-900,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,22,DraftKings,Jean Silva,/fighters/jean-silva-554,-950,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,21,FanDuel,Westin Wilson,/fighters/westin-wilson-7567,+640,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,24,Caesars,Westin Wilson,/fighters/westin-wilson-7567,+600,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,25,BetRivers,Westin Wilson,/fighters/westin-wilson-7567,+700,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,20,BetWay,Westin Wilson,/fighters/westin-wilson-7567,+700,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,26,Unibet,Westin Wilson,/fighters/westin-wilson-7567,+700,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,23,BetMGM,Westin Wilson,/fighters/westin-wilson-7567,+575,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33652,22,DraftKings,Westin Wilson,/fighters/westin-wilson-7567,+625,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,21,FanDuel,Nikolas Motta,/fighters/nikolas-motta-9314,+300,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,24,Caesars,Nikolas Motta,/fighters/nikolas-motta-9314,+310,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,25,BetRivers,Nikolas Motta,/fighters/nikolas-motta-9314,+270,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,20,BetWay,Nikolas Motta,/fighters/nikolas-motta-9314,+290,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,26,Unibet,Nikolas Motta,/fighters/nikolas-motta-9314,+270,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,23,BetMGM,Nikolas Motta,/fighters/nikolas-motta-9314,+280,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,22,DraftKings,Nikolas Motta,/fighters/nikolas-motta-9314,+285,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,21,FanDuel,Tom Nolan,/fighters/tom-nolan-16303,-430,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,24,Caesars,Tom Nolan,/fighters/tom-nolan-16303,-400,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,25,BetRivers,Tom Nolan,/fighters/tom-nolan-16303,-360,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,20,BetWay,Tom Nolan,/fighters/tom-nolan-16303,-375,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,26,Unibet,Tom Nolan,/fighters/tom-nolan-16303,-360,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,23,BetMGM,Tom Nolan,/fighters/tom-nolan-16303,-375,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33483,22,DraftKings,Tom Nolan,/fighters/tom-nolan-16303,-360,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,21,FanDuel,Felipe Bunes,/fighters/felipe-bunes-13242,+215,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,24,Caesars,Felipe Bunes,/fighters/felipe-bunes-13242,+240,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,25,BetRivers,Felipe Bunes,/fighters/felipe-bunes-13242,+225,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,20,BetWay,Felipe Bunes,/fighters/felipe-bunes-13242,+220,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,26,Unibet,Felipe Bunes,/fighters/felipe-bunes-13242,+225,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,23,BetMGM,Felipe Bunes,/fighters/felipe-bunes-13242,+220,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,22,DraftKings,Felipe Bunes,/fighters/felipe-bunes-13242,+220,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,21,FanDuel,Joshua van,/fighters/joshua-van-14745,-260,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,24,Caesars,Joshua van,/fighters/joshua-van-14745,-300,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,25,BetRivers,Joshua van,/fighters/joshua-van-14745,-295,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,20,BetWay,Joshua van,/fighters/joshua-van-14745,-270,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,26,Unibet,Joshua van,/fighters/joshua-van-14745,-295,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,23,BetMGM,Joshua van,/fighters/joshua-van-14745,-275,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33726,22,DraftKings,Joshua van,/fighters/joshua-van-14745,-298,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3122,33360,21,FanDuel,Jimmy Flick,/fighters/jimmy-flick-1923,+168,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,24,Caesars,Jimmy Flick,/fighters/jimmy-flick-1923,+170,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,25,BetRivers,Jimmy Flick,/fighters/jimmy-flick-1923,+165,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,20,BetWay,Jimmy Flick,/fighters/jimmy-flick-1923,+180,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,26,Unibet,Jimmy Flick,/fighters/jimmy-flick-1923,+165,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,23,BetMGM,Jimmy Flick,/fighters/jimmy-flick-1923,+165,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,22,DraftKings,Jimmy Flick,/fighters/jimmy-flick-1923,+164,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,21,FanDuel,Malcolm Gordon,/fighters/malcolm-gordon-3630,-200,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,24,Caesars,Malcolm Gordon,/fighters/malcolm-gordon-3630,-205,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,25,BetRivers,Malcolm Gordon,/fighters/malcolm-gordon-3630,-210,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,20,BetWay,Malcolm Gordon,/fighters/malcolm-gordon-3630,-220,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,26,Unibet,Malcolm Gordon,/fighters/malcolm-gordon-3630,-210,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,23,BetMGM,Malcolm Gordon,/fighters/malcolm-gordon-3630,-200,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-3122,33360,22,DraftKings,Malcolm Gordon,/fighters/malcolm-gordon-3630,-198,UFC,2024-01-20,https://www.bestfightodds.com/events/ufc-3122
ufc-297-3106,33198,21,FanDuel,Dricus Du Plessis,/fighters/dricus-du-plessis-7951,-108,UFC 297,2024-01-21,https://www.bestfightodds.com/events/ufc-297-3106
ufc-297-3106,33198,24,Caesars,Dricus Du Plessis,/fighters/dricus-du-plessis-7951,-110,UFC 297,2024-01-21,https://www.bestfightodds.com/events/ufc-297-3106
ufc-297-3106,33198,25,BetRivers,Dricus Du Plessis,/fighters/dricus-du-plessis-7951,-115,UFC 297,2024-01-21,https://www.bestfightodds.com/events/ufc-297-3106
